,PhraseId,SentenceId,Phrase,Sentiment
101,102,3,would have a hard time sitting through this one,0
103,104,3,have a hard time sitting through this one,0
157,158,5,Aggressive self-glorification and a manipulative whitewash,0
159,160,5,self-glorification and a manipulative whitewash,0
201,202,7,Trouble Every Day is a plodding mess .,0
208,209,7,is a plodding mess,0
210,211,7,plodding mess,0
261,262,10,could hate it for the same reason,0
264,265,10,hate it,0
265,266,10,hate,0
311,312,12,"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that",0
430,431,16,baseball movies that try too hard to be mythic,0
848,849,32,"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .",0
861,862,32,a self-indulgent script,0
919,920,34,"There 's very little sense to what 's going on here ,",0
1001,1002,36,avoid,0
1003,1004,37,almost feels as if the movie is more interested in entertaining itself than in amusing us .,0
1023,1024,38,The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . ',0
1024,1025,38,The movie 's progression into rambling incoherence,0
1032,1033,38,gives new meaning to the phrase ` fatal script error . ',0
1044,1045,38,` fatal script error,0
1046,1047,38,fatal script error,0
1099,1100,41,"Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .",0
1131,1132,41,of narrative banality,0
1158,1159,42,bad,0
1282,1283,48,"'m sure the filmmaker would disagree , but , honestly , I do n't see the point",0
1295,1296,48,"honestly , I do n't see the point",0
1372,1373,51,clunky TV-movie approach,0
1445,1446,53,"Thanks largely to Williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film .",0
1468,1469,53,the rest is just an overexposed waste of film,0
1471,1472,53,is just an overexposed waste of film,0
1473,1474,53,an overexposed waste of film,0
1474,1475,53,an overexposed waste,0
1479,1480,54,"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible .",0
1484,1485,54,"as a relic from a bygone era , and its convolutions ... feel silly rather than plausible",0
1530,1531,57,Run for your lives !,0
1531,1532,57,Run for your lives,0
1653,1654,61,makes your teeth hurt,0
1687,1688,63,Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and the action scenes are poorly delivered,0
1688,1689,63,Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and,0
1754,1755,66,Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,0
1758,1759,66,is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,0
1759,1760,66,is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating,0
1760,1761,66,is the script 's endless assault of embarrassingly ham-fisted sex jokes,0
1765,1766,66,endless assault,0
1769,1770,66,embarrassingly ham-fisted sex jokes,0
1812,1813,67,impossible,0
2043,2044,78,goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .,0
2256,2257,86,"directed , barely ,",0
2370,2371,91,'s lazy for a movie to avoid solving one problem by trying to distract us with the solution to another,0
2372,2373,91,lazy for a movie,0
2421,2422,93,"of its music or comic antics , but through the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel",0
2439,2440,93,Disney scrape the bottom of its own cracker barrel,0
2472,2473,95,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,0
2473,2474,95,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres,0
2474,2475,95,Scarcely worth a mention,0
